"Name","main","experiment","model","test/davidson_accuracy","test/davidson_f1-score","test/davidson_precision","test/davidson_recall","test/garcia_accuracy","test/garcia_f1-score","test/garcia_precision","test/garcia_recall","test/waseem_accuracy","test/waseem_f1-score","test/waseem_hovy_accuracy","test/waseem_hovy_f1-score","test/waseem_hovy_precision","test/waseem_hovy_recall","test/waseem_precision","test/waseem_recall","test/wulczyn_accuracy","test/wulczyn_f1-score","test/wulczyn_precision","test/wulczyn_recall"
"summer-sweep-2","waseem_hovy","liwc","lstm","0.4618797902379992","0.44412854720439354","0.6133948321459224","0.5700281540428344","0.5460251046025104","0.4508452322337108","0.5460251046025104","0.6500570776255707","0.6936416184971098","0.539916704300266","0.6903073286052009","0.657175735097371","0.6646137490344328","0.6537072164948453","0.5629842639188434","0.5420331574177728","0.9028117743049018","0.4795619144250965","0.501496904548393","0.5510699782683423"
"treasured-sweep-1","waseem_hovy","liwc","lstm","0.4114562323517547","0.40340407591129535","0.5974328199903705","0.5669864952385522","0.5418410041841004","0.4434265723111605","0.5418410041841004","0.6429425837320575","0.7167630057803468","0.568089469728814","0.6796690307328606","0.6427387133569777","0.6479778895150243","0.6399107190306638","0.5957504593018612","0.5652694741198123","0.8671624929391828","0.5419203227893172","0.5367963988495816","0.5549570097314407"
"ethereal-sweep-5","waseem_hovy","liwc","mlp","0.24122630092779343","0.23486712725608","0.5391066390340685","0.5769459597993629","0.50418410041841","0.34256448945245627","0.50418410041841","0.7510504201680672","0.8410404624277457","0.588762830902215","0.7659574468085106","0.6874500876963838","0.6727060452134366","0.7555260925660601","0.573799824267114","0.6655319453900455","0.9050084729806064","0.48189330962270627","0.5034448818897638","0.9524729156853508"
"gallant-sweep-4","waseem_hovy","liwc","mlp","0.6639774102460669","0.6017375754598662","0.7176607889246314","0.6238172767893175","0.502092050209205","0.4837919268186438","0.502092050209205","0.5024377307684462","0.8106936416184971","0.5797213658174737","0.7287234042553191","0.6773781082808977","0.6722780640799368","0.6853369637328616","0.5711238916846393","0.5997311827956989","0.2326303897571079","0.2304064601542586","0.5466889542461159","0.5317793751039593"
"easy-sweep-3","waseem_hovy","liwc","mlp","0.22670431625655507","0.2175596518516067","0.5332469233148883","0.5823443845954431","0.50418410041841","0.34256448945245627","0.50418410041841","0.7510504201680672","0.8410404624277457","0.593515037593985","0.7630023640661938","0.6886130150738778","0.6744524973060475","0.7450860948667966","0.5776180206086748","0.6668727460072128","0.9049770915709534","0.48156176385076","0.5032808398950132","0.952458707529988"
"easy-sweep-2","waseem_hovy","liwc","mlp","0.16982654296087132","0.14612697979136627","0.5009699321047527","0.5842424242424242","0.5","0.33701651046049386","0.5","0.5","0.8453757225433526","0.5426418357577443","0.7157210401891253","0.5404144589090256","0.5667184847701348","0.747121035475505","0.5420001597571691","0.6783582089552238","0.9046946588840772","0.4785683393796488","0.5018044619422573","0.9523308742740544"
"usual-sweep-1","waseem_hovy","liwc","mlp","0.8329971762807584","0.4980937160116118","0.519858603902523","0.6889844389844391","0.502092050209205","0.3520821942773829","0.502092050209205","0.5283108268182894","0.5086705202312138","0.4712904037680221","0.4881796690307328","0.48559223497295384","0.5904983370564212","0.6053138625018922","0.6215831935458104","0.5652192542698237","0.0961212577668989","0.08796758204496086","0.4987933367323462","0.4048636324876469"
"earnest-sweep-5","waseem","liwc","cnn","0.6764824526018556","0.6228274462666679","0.7615269569019857","0.6475844389723988","0.5167364016736402","0.4078161955175133","0.5167364016736402","0.5633280339162692","0.8424855491329479","0.5948717122401078","0.6790780141843972","0.4997775896379094","0.5324382398332399","0.5941889094063008","0.5784727214633757","0.6722783389450055","0.8619531789367978","0.6172730534545693","0.622371366211953","0.6128459786414415"
"whole-sweep-4","waseem","liwc","cnn","0.7466720451795079","0.6487305842110489","0.7080632293389343","0.6376525570179691","0.5460251046025104","0.48117025054646034","0.5460251046025104","0.5920518207282913","0.8078034682080925","0.6470673952641166","0.6666666666666666","0.6134106818771067","0.612461076199913","0.6145403811333902","0.6534148094895759","0.641779365735546","0.7642628506872529","0.563056018551831","0.6227826153601506","0.560763235332297"
"dandy-sweep-3","waseem","liwc","cnn","0.28842275110931825","0.2874626048530591","0.5588681334273028","0.5721179464237375","0.497907949790795","0.35002832861189803","0.497907949790795","0.4767373953669457","0.8482658959537572","0.5383002382843527","0.6784869976359338","0.4371037181996087","0.508492976452205","0.5745836095166909","0.53989136512501","0.7058193208044841","0.8948095148434068","0.5382576658296285","0.5322786010274637","0.6119030027469925"
"brisk-sweep-2","waseem","liwc","cnn","0.3565954013715208","0.35423107947634963","0.5654116861699776","0.5518810925889029","0.5104602510460251","0.36627762039660056","0.5104602510460251","0.6163130231652716","0.8338150289017341","0.557039881996048","0.6743498817966903","0.49352408239498946","0.5274935722533327","0.5787923416789396","0.5504353382858056","0.6270320296153227","0.9048829473419946","0.5497065845551761","0.5394616457998965","0.7138650210678026"
"desert-sweep-1","waseem","liwc","cnn","0.809600645421541","0.6739466761781623","0.6818012127640274","0.6674749948575542","0.48326359832635984","0.46470622905927106","0.4832635983263598","0.480569105691057","0.6329479768786127","0.5586025393764062","0.5041371158392435","0.5015881832286306","0.549817646312537","0.5454946763265187","0.6683600926591581","0.5895438053886873","0.5079081152325362","0.4209466011158045","0.5621688079901943","0.5215351549404514"
"logical-sweep-5","waseem","liwc","lstm","0.4538120209762001","0.4275471221868242","0.5568910535974712","0.5337042885844447","0.4790794979079498","0.42787511716778426","0.4790794979079498","0.46741383071553233","0.7442196531791907","0.5869492639991907","0.6057919621749409","0.5224050630232986","0.5231447058011116","0.5260091822591823","0.6081715791996166","0.5802517422841701","0.8152576413732505","0.5560594432393988","0.5702963493944894","0.5504310728521847"
"vibrant-sweep-4","waseem","liwc","lstm","0.49858814037918514","0.45433074700659914","0.5531968217860241","0.5300379960966333","0.5062761506276151","0.4775956284153005","0.506276150627615","0.5080422639477757","0.6994219653179191","0.561598440545809","0.5756501182033097","0.5263253933719804","0.527929583051626","0.526445520691569","0.5969486380701334","0.5622314515715531","0.8680725538191175","0.6070232462943401","0.6038976009088808","0.6104973888170757"
"usual-sweep-3","waseem","liwc","lstm","0.47196450181524807","0.4435700493206176","0.5754552517055221","0.5442129702191687","0.5083682008368201","0.4570151057401813","0.5083682008368201","0.5134602387925209","0.703757225433526","0.5423029395727602","0.5833333333333334","0.5050239944230861","0.5056577018135802","0.506071081455543","0.5613307772186277","0.542593085696534","0.7900897508316074","0.5757878102315853","0.6222460207776964","0.5677354992666668"
